komentar;label
"Pemerintah berencana memasukkan artificial intelligence (AI) dan coding sebagai mata pelajaran pilihan di sekolah dasar (SD) dan sekolah menengah pertama (SMP). 

Menteri Pendidikan Dasar dan Menengah (Mendikdasmen) Abdul Mu'ti mengatakan, hal itu akan dimasukkan dalam pembaharuan kurikulum mendatang. 

""Kami sampaikan dalam merencana kami untuk pembaruan kurikulum yang akan datang itu akan menambahkan mata pelajaran artificial intelligence (AI) dan Coding sebagai mata pelajaran pilihan di sekolah-sekolah yang memang sudah mampu melaksanakan,"" kata Abdul Mu'ti di Jakarta Selatan, Senin (11/11/2024).

Mu'ti menjelaskan, nantinya tidak semua sekolah akan menerapkan AI dan coding sebagai mata pelajaran pilihan karena memang membutuhkan alat canggih untuk menunjang mata pelajaran itu. 

Ia pun berharap dengan masukknya pelajaran AI dan coding sebagai mata pelajaran pilihan bisa menjawab keinginan Pesiden Prabowo Subianto untuk melakukan digitalisasi di bidang pendidikan. 

""Mudah-mudahan ini bisa menjawab program dari Pak Presiden juga tentang digitalisasi sebagai upaya kita untuk meningkatkan kualitas pendidikan dan menyiapkan generasi kita ini untuk lebih bisa bersaing di dunia global,"" ujarnya.

^ #AI #Coding #Kurikulum 

Penulis: Sania Mashabi
Editor: Mahar Prastiwi";positive
"AI untuk Semua, atau Hanya untuk yang Mampu?

Pemerintah ingin memasukkan AI ke kurikulum 2025, tapi siapkah infrastruktur dan gurunya? Di kota, siswa belajar AI lewat laptop dan internet cepat. Di pelosok, listrik pun masih byar-pet. Tanpa strategi inklusif, AI bisa jadi menara gading baru, memperlebar jurang pendidikan. Padahal, AI punya potensi jadi jembatan, bukan jurang, kalau diajarkan lewat cara kreatif, kontekstual, dan bertahap. Jangan sampai anak desa makin tertinggal bukan karena bodoh, tapi karena tak diberi alat. AI harus jadi hak, bukan hak istimewa.
 https://t.co/8iElza20vL";positive
"Era AI dan Digitalisasi, Sofyan Tan Ajak Guru Terapkan Pembelajaran Mendalam agar Siswa Lebih Kritis dan Aktif Bertanya
https://t.co/CCzy9plRX9
#PembelajaranMendalam #TransformasiPendidikan #SofyanTan #KomisiX #Kemendikdasmen #KurikulumMerdeka #PendidikanIndonesia #bitvonline";positive
Indonesia sedang sangat terpukul oleh AI saat ini. Di sekolah, secara komersial, dan bahkan dalam kampanye presiden mereka. Para seniman dan ilustrator di sana berusaha bersatu untuk mengedukasi masyarakat tentang hak cipta dan menuntut regulasi yang adil. Ini sangat dibutuhkan. #TolakGambarAI;negative
"Makin maraknya penggunaan AI di banyak belahan dunia punya ancaman tersendiri bagi tenaga kerja yg hanya berbekal otot

Celakanya hanya 10% bangsa ini yg sarjana. Dari 6jt orang yg masuk SD/tahun, yg sarjana hanya 600 ribu. Negara ini tenggelam sebenarnya

https://t.co/QOzUAVQWu5 https://t.co/YoeNLBioPk";negative
(5/10) AI bisa menulis esai, menjawab soal, merangkum buku. Tapi jika tak hati-hati, ia bisa membuat anak-anak kita tumbuh tanpa fondasi. Tak cakap berpikir kritis, tak mandiri dalam mengambil keputusan. Semua menunggu petunjuk mesin.;negative
"Duh mas, mas. Kurangin deh beropini asbun kayak gini. Udah bolak-balik bikin blunder loh, ini bikin citra orang yang kerja di bidang IT itu kayak ga napak tanah 😑

Apa-apa dikait-kaitin sama AI. Ini lagi ngide AI menggantikan peran pendidik. Anak ente duluan nyobain gimana?";negative
"Gue coba bahas scr lengkap ya tentang assessment. Gue bukan mau kritik siapa2 or dukung siapa2 ya, just chipping in karena ini topik penting di pendidikan 😁

Jadi gini, menurut gue assessment tuh salah satu komponen terpenting dalam pendidikan (bahkan bisa jadi terpenting). Kalo kita pake evolutionary framework, assessment itu bakalan jadi the selection parameter utk menyeleksi bukan cuma siswa tp juga metode belajar/ngajar. Gampangnya gini, kalo ujian itu nguji bahan2 yg cukup diapal ya nanti yg lulus yg jago ngapal & metode cara ngapal yg oke bakal menjamur, kalo ujiannya nguji mikir & kreativitas ya yg lolos yg jago itu and metode belajar utk jadi jago mikir & kreatif ya jadi menjamur.

Btw dikit, bisa jadi, dengan bikin assessment system yg bagus (nguji the right things, ga bisa diakalin, dll) kita ga perlu repot menstandarisasi proses belajar scr rigid (or kasih standard dikit aja), karena dengan sistem assessment yg bagus dan metode belajar/ngajar “dibebasin”, bisa jadi akan keluar buanyak inovasi cara belajar/ngajar macem2 dr guru2 kreatif di seluruh negeri. Nantinya cara2 yg efektif utk ngasilin outcome yg sesuai tujuan test biasanya akan menjamur, “laku”, dan dicontoh sama yg lain.

Nah. Balik lagi ke format test, yg model gimana nih yg pas utk nguji critical thinking & creativity? idealnya emang assessment berbentuk “active” di mana siswa punya kesempatan utk jadi “create-ive” kyk bikin essay, praktek ngerjain sesuatu, ngehasilin karya (gambar, video, ngoding, etc). But of course ini susah banget scr operasional di lapangan, karena guru2 akan nambah workloadnya utk grading karya2 ini, walaupun bikin soalnya jadi lebih gampang dibanding bikin soal pilgan hehe. 

So terus, apa yg bisa dilakuin? Selama belasan tahun kemaren yg dilakuin gue and the team adalah riset gimana cara bikin soal pilgan yg beneran nguji cara mikir & kreativitas, susah banget bikin soal2 kayak gini, tp kita lumayan sukses lah bikin ini dan soal2 boleh dipake sama seluruh guru indo for free. Caranya bisa macem2, bisa aja pilihan bener bukan cuma satu, prosesnya juga ditest jadi pilihan (semacam choose your own adventure), bikin pilihan jawaban yg “ngegocek” kalo anak2 cuma ngapalin rumus, dan macem2 lagi. So far model ini cukup reliable misahin antara yg beneran mastering the concepts sama yg sekadar ngapal kalimat or rumus.

Nah terus, udah ideal belom model gini? Menurut gue belom sih, tp sejak 2020, gue dan tim mulai serius riset ke penerapan AI di pendidikan. Thn 2021 kita sukses launching adaptive learning model utk belajar jd personalised dan bikin jadi lebih efisien sesuai kebutuhan masing2 anak. Nah for the past 6 months, salah satu topik riset kita tuh multi-modal assessment supaya bisa ngelakuin “creative” assessment at scale dengan biaya super murah dan ga jadi beban buat para guru (walaupun bisa aja si anak pake AI lg utk produksi karya, tp at least mereka jago ngeprompt lah hehe). 

Yowes, sementara itu dr gue, reply aja kalo ada follow up questions or feedback 😁👌";neutral
"✨ Maman Basyaiban -  ""Tantangan utama dalam pembelajaran AI dan koding adalah membedakan antara tujuan dan konten serta menyesuaikan dengan kondisi murid dan guru. Maka dari itu, diperlukan pendekatan kontekstual, bertahap, dan humanis yang memberdayakan melalui pengalaman, bahasa sederhana, dan refleksi bersama.""";positive
@anonimariea Stop penggunaan AI bukan solusi kak, langkah yang tepat mungkin pembentukan Kurikulum penggunaan AI, Regulasi penggunaan AI, dan Edukasi AI sejak dini. AI itu gak cuma Generate gambar doang, cabang ilmunya juga banyak kayak Machine Learning, NLP, dll.;negative
"Iya lagi.. Refleksi psidik gw yang isinya kayak orang mabok, pake campuran bahasa inggris, emot beneran (😊😭), emot boongan ( :v, :3, &lt;3) aja terdeteksi AI. 

Bahkan gw ketik ""Mba plis, nilai saya dikatrol, saya kan aktif banget di kelas, mba 😭"" ITU TERDETEKSI AI JUGA AJG?! WTF";negative
Seorang lulusan Nanyang Technological University tidak berada dalam posisi moral untuk mengerdilkan institusi pendidikan seperti ini. Alih-alih merasa miris malah nyuruh orang belajar pakai AI, semoga Tuhan melindungi kita dari sifat jahat seperti ini.;negative
"Setuju mas wapres...

Pake AI dengan penuh etika dan tanggung jawab....

Begitu juga dengan penggunaan medsos, etika dan undang undang harus diperhatikan…";positive
@kompascom Beliau ini tau ga sih di belakangnya AI tuh kayak gimana? Isinya algoritma, matematika, sama statistik. Kalo emg serius mau ngejar AI ya yg harus diperkuat tuh kemampuan matematika sama computational thinking. Kurikulum masih ga jelas dah mau loncat AI aja;negative
@MasBRO_back @UGMYogyakarta negara lain udah mikirin teknologi yg lebih maju, china ngembangi rumah sakit AI, indonesia malah mikirin ijazah;negative
Menteri Pendidikan Tinggi, Ilmu Pengetahuan, dan Teknologi Indonesia, Brian Yuliarto, telah mendesak blok ekonomi BRICS untuk lebih memperhatikan pentingnya dan manfaat mengintegrasikan kecerdasan buatan (AI) ke dalam sektor pendidikan.;positive
@kun_wardana Terminologi belajar AI yang digaungkan pemerintah arahnya salah. Harusnya bukan sebagai konsumen, tetapi sebagai produser. Belajar ilmu dasar matematika, fisika adalah dasar pengembangan AI. Arahnya membangun platform dan tuning model AI, bukan menggunaksn model jadi spt chatgpt;negative
@jebunggg Makanya gue gak akan capek bilang kalau penggunaan AI di level instansi pendidikan tuh sama aja buang-buang duit. Ngapain kuliah kalau apa-apa pake ChatGPT? Atau lebih parah lagi malah diajarin pake AI sama dosennya.;negative
"Postingan ini sekalian saya buat sebagai bahan refleksi bersama, antara lain:

1. Kreativitas dan teknologi itu penting, tapi jangan lupakan konteks, etika, dan regulasi yang berlaku termasuk resiko dan konsekuensi hukumnya. 

2. Dalam konteks pendidikan, memperkenalkan AI tanpa membentuk karakter dan nalar kritis ibarat membiarkan anak memegang pisau tajam tanpa tahu cara menggunakannya. Akhirnya bukan kemajuan, tapi potensi bahaya.

3. Jika ada seorang Pemimpin yang mendorong AI ke anak-anak tanpa fondasi berpikir justru sedang mempertaruhkan masa depan generasi kita.
Diam berarti ikut mengorbankan masa depan anak-anak kita. 

Salam.";positive
"Ganti dulu kurikulum, dgn memasukkan penguasaan AI. Knp? 

1. AI skrg sdh bisa mengerjakan mayoritas PR anak sekolah yg berbasis pengetahuan. 

2. Jika tidak, maka harus didasari IQ kita masih rendah. Daya tangkap masih lemah. Fungsi PR di sekolah menengah biasanya pengulangan mata pelajaran agar materi bisa tertangkap. Tanpa itu, zonk. Lupa. 

@DediMulyadi71";positive
Indonesia beneran darurat edukasi soal AI. Padahal baru aja beberapa waktu lalu ada kasus anak-anak yang mukanya diedit jadi bahan pelecehan pake AI. Orang dewasa ga paham kah kalau membiarkan anak kalian pake AI bisa rentan disalahgunakan termasuk dijadikan bahan pelecehan?;negative
"Indonesia memiliki modal kuat untuk bersaing di era AI. Namun, tantangan infrastruktur, talenta, regulasi, dan etika harus segera diatasi agar manfaat AI bisa dirasakan secara merata.
https://t.co/s1Jq4NCSdk 
#ai #fyp #teknologi #strategi #inovasi #globalisasi https://t.co/KLdvVjfrrl";neutral
"Sampe sekarang gua masi kepikiran Wapres Gibran ngomong ke anak SMA, disuruh pake AI supaya meningkatkan produktivitas dan efisiensi mereka.

gak habis pikir setingkat wapres kok ga ngerti kalo pendidikan itu tempatnya lu boleh inefisien, eksplorasi, dan menajamkan pikiran.";negative
"Gw ada temen yang gw tawarin buat belajar REAL, RAW AI sama dosen di UI.

Terus dia kayak, ""hell no! im an artist"".

Asli, istilah ""AI"" tuh udah KABUR BANGET. AI belum tentu genAI. Nyatanya, program buat nentuin lauk paling optimal buat dibungkus di nasi padang juga disebut AI.";negative
"Prioritas pendidikan AI di Indonesia harus berfokus pada “mendidik generasi yang melek AI.” Pemilihan nomenklatur “Koding dan KA” saat ini justru mengundang bias terhadap pentingnya memahami AI 
https://t.co/Q2mTFx96BO";positive
@kkitoraabu mirisnya adalah wapres kita menormalisasi AI bahkan akan diterapkan di sekolah, ladies and gentlemen this is ✨️indonesia✨️;negative
"Menteri Pendidikan Dasar dan Menengah (Mendikdasmen) Prof Abdul Mu'ti menyatakan pihaknya telah menyelesaikan kajian akademik dan uji publik untuk menerapkan coding dan artificial intelegence (AI) sebagai mata pelajaran bagi para siswa-siswi se-Indonesia. Penerapan coding dan AI menjadi mata pelajaran dikatakan bisa mendongkrak kualitas Pendidikan di era serba digital. Dalam tahapan tahun ini, pihaknya sedang berusaha melatih para guru agar dapat mengajarkan dua mata pelajaran tersebut kepada siswa. Seperti apa skema penerapan coding dan AI sebagai mata pelajaran di pendidikan dasar dan menengah?

Talk: Kepala Bidang Advokasi Guru Perhimpunan Pendidikan dan Guru (P2G)-  Iman Zanatul Haeri 

#E090615

Streaming 
https://t.co/rke9sWHJY6";positive
"Tahap pertama, Para guru dikasih beban digital ampe overload. Sampai bingung gimana cara ngolahnya dan mulai dari mana. 

Mereka tidak punya waktu untuk membacanya dan memahaminya. Yang mereka butuhkan gimana caranya kewajiban-kewajiban ini selesai, karena semakin menumpuk. 

Tahap kedua, datanglah beragam aplikasi dan pada puncaknya AI, yang memberikan semua jawaban. Semua jalan pintas disediakan. 

Level guru, kata @AlfianBahri47 berada pada titik paling teknis (konten tutorial penggunaan aplikasi guru selalu laku) yang bisa ditafsirkan begini: guru mengerjakan pekerjaan automatic atau robotik, sementara robot belajar caranya belajar (machine learning). 

Siapa yang makin cerdas, ya ☺";negative
;
"untungnya ini era AI bisa diakses semua orang

bisa jadi sudah nggak perlu bayar UKT mahal-mahal buat kuliah

cukup belajar dengan AI dan sumber ilmu gratis di internet saja

kecuali kalau gelar/ijazah dirasa wajib dimiliki ya

semakin lama semakin berkurang nilainya";positive
"Dibandingkan dengan istilah ""koding dan KA"" yang terasa sangat teknis, Melek AI jauh lebih pas untuk membangun citra ""pendidikan yang mengembangkan berpikir komputasional, literasi digital, algoritma pemrograman, analisis data, dan etika KA.""";positive
Pendidikan merata sampai ke pelosok YES!! Big NO to SBI!!!! #PendidikanIndonesia;negative
"Belajar pakai AI itu game changer.

Berasa banget karna: boleh nanya berulang-ulang sampe paham, boleh nanya pertanyaan bodoh, boleh minta dijelasin dengan contoh-contoh.

Trus lagi nih...

✅ Gak ada judgement. Mau nanya hal sepele atau konsep yang remeh temeh? AI ga akan bilang, ""kok gitu aja ga ngerti sih?""

✅ Bisa eksplorasi sebebas-bebasnya. Kadang ide-ide aneh atau asumsi ngawur bisa kita lempar ke AI, trus malah dapet insight baru.

✅ Langsung dapet jawaban ga pake basa-basi. Si AI mikirnya instant banget. Gak kek nyari di forum yang isinya debat, atau artikel panjang yang bikin mata jereng. Straight to the point, bisa disuruh-suruh ringkasin pulak.

✅ Gak perlu malu sama AI. Bisa minta ulang dengan analogi lain, format lain, bahkan minta dirangkum lebih padat.

✅ Gali sampai akar, sampe ketemu air. Pernah baca sesuatu tapi masih ngerasa ""kok kayaknya ada yang miss?"" AI bisa bantu cross-check info dan jelasin sampe dalam.

AI emang ga bisa ngalahin hands-on experience ya, jadi yang kita dapet dari AI, tetep harus dipraktekkin. Ini koentjinya.

Tapi AI bikin proses ngulik sesuatu jadi lebih cepet, lebih dalam, dan lebih nyaman.

Ga dimarah-marahin dulu. 😁

Makes sense ya.";positive
"Pendidikan aja masih banyak yg belum layak kok udah mau beralih ke AI 😭

https://t.co/ScHgS1ueiD";negative
"Dirancang dari konteks keindonesiaan dan berpijak pada nilai Pancasila. Teknologi ini tidak hanya canggih, tapi juga punya karakter bangsa yg mendorong kedaulatan digital Indonesia. 🇮🇩

#AI #InovasiAnakBangsa 
#BeritaTerkini #Indonesiagoid #InfoPublik #GoTo #IndosatOoredooHutchison https://t.co/lYu99c5msv";positive
"✨Arief Latu Suseno - ""Pembelajaran AI dan coding diadopsi dari framework UNESCO dengan dukungan Microsoft melalui pendekatan bertahap mulai literasi digital hingga pemrograman dan analisis data yang dimulai sejak kelas 1 SD hingga SMA dengan fokus pada etika, keamanan siber, dan pelatihan guru berbasis game.""";positive
"artificial intelligence dalam bahasa indonesia diterjemahkan sebagai 'akal imitasi' dan sama-sama disingkat ai. 

hayooo. emang ai bisa ginian? kecerdasan berbahasa itu keterampilan yang paling sukar diimitasi. #bahasaindonesia";positive
"@TirtoID Kurikulum AI = KEINGINAN Gibran TANPA PERTIMBANGAN:
1) Kesiapan Infrastruktur IT di sekolah2.
2) Gadget/Hardware yg hrs dimiliki setiap siswa 
3) IT Readiness mayoritas siswa Indonesia 
4) Ketersediaan Guru2 Pengajar yg Ahli AI plus Gadget/Hardware yg diperlukan 
5) dst dst";negative
"Gak usah push AI ke sekolah dasar. Namanya sekolah dasar, ya diajarin hal-hal dasar. 

AI itu bisa dipelajarin otodidak.

Hal-hal dasarnya-lah yang harus kuat. Agama, moral, etika, bahasa, dan matematika.";negative
@ardisatriawan Ini mau bikin another lulusan era covid? Learning loss jaman covid aja gila2an. Covid melandai tau gak carut marutnya pendidik memperbaiki learning loss selama 2tahunan? Pas udh agak stabil malah efisiensi. Indonesia itu darurat pendidikan dan kesehatan. Dari dulu-;negative
"yang pastinga guru dan kurikulumnya harus 3 langkah dari pada AI 
#PendidikanIndonesia #KebijakanPendidikan #MerdekaBelajar #DigitalisasiPendidikan #PendidikanKarakter

https://t.co/y7WujDMWsn";positive
@ndeyedraws Makan tuh AI, segala AI mau di masukin ke pelajaran SD sedangkan mahasiswa fisika baru dapet matkul AI di smt 5 wkwkwk;negative
@hammsqi The worst case is: anak2 diajarin pake AI buat jawab soal, tinggal tring! Jadi deh, tinggal dicopy-paste. Gak memahami konsep, gak ada proses berpikir, anak2 gak diajarin problem solving sendiri. Jadi tolol semua 😂;negative
"kalau semua sudah pake Ai apa perlu sekolah lagi ga?
#seriusnanya
#PendidikanIndonesia #KebijakanPendidikan #MerdekaBelajar #DigitalisasiPendidikan #PendidikanKarakter

https://t.co/CO0N7Yrr7K";positive
"Wapres merekomendasikan anak sekolah untuk pakai AI - ChatGPT untuk menyelesaikan tugas-tugas sekolah.

We are so doomed. So doomed. 
🤦‍♂️💆‍♂️

Inkompetensi pejabat membunuh bangsa.";negative
"Aku gak sepenuhnya nolak pendidikan AI.

CUMA YAAA, gini. Di Indonesia praktiknya udah bener belom? Udah paham belom ttg AI ssbagai asisten, BUKAN pengganti tenaga kerja?

Aku keras menolak jika yg dibutuhkan adalah rasa kritis dan kreativitas. Seems dull and null.";negative
"@IyaEmyuNapaEmg @KUCINGIND @racikan_twt penggunaan AI di jerat pidana? cuman itu ?

jawabannya : belum dan mustahil ada, karna Kalau praktek penggunaan AI dijerat pidana sesuai pertanyaan lu, indonesia kedepannya bakal jadi negara mundur karna artinya AI bakal jadi barang ilegal kaya narkoba dinegara ini";negative
"udah ada ai masih perlu guru?
#seriusnanya
#PendidikanIndonesia #KebijakanPendidikan #MerdekaBelajar #DigitalisasiPendidikan #PendidikanKarakter

https://t.co/fjOLxcxEZm";positive
"""Kami menargetkan 50 persen dari lebih 100.000 sekolah di seluruh nusantara akan mengajarkan AI dan coding pada tahun 2028,"" Brian. 

https://t.co/4Zx9HKuQKy";positive
"Era kini, siswa yg belajar pakai AI ,bisa mendapatkan  jawaban instan. Mereka sering  mendapat pertanyaan dari guru, mencari jawaban ke AI , lalu disampaikan ke guru. 

Di era belajar sebelumnya, jawaban didapat  lewat proses mencari, mempertanyakan, dan mengkonstruksi makna.";positive
Apakah guru-guru udah siap ya ngajarin AI? Ini jadi PR juga nih kayaknya.;neutral
Perlu dilihat lagi gimana kesiapan infrastruktur buat nerapin AI di semua sekolah. #TantanganPendidikan;neutral
Kita lihat saja nanti bagaimana perkembangan program pendidikan AI ini ke depannya.;neutral
Implementasi AI di sekolah itu butuh dana dan kesiapan SDM, bukan hal instan.;neutral
Perkembangan AI yang pesat bikin kurikulum pendidikan juga harus ikutan gerak cepat.;neutral
Penting untuk memastikan materi AI tidak memicu over-reliance pada teknologi.;neutral
"
Ya Tuhan, di Indonesia pelajaran AI untuk sekolah diributkan!
Sementara negara-negara lain sudah mengembangkan AI secanggih ini 😭😭

Emang warga Konoha yg suka protes itu norak banget!
Pindahin saja daripada bikin ribet🤦
";negative
@sbyfess -bikin soal pake AI langsung bagiin ke siswanya. GA BISA. TETEP KUDU SELEKTIF. Sesuaikan dengan kemampuan siswanya. AI itu sifatnya general sedangkan ga semua anak kemampuannya sama. Lu aja klo nyari jawaban lewat AI ga 100% bener pasti ada aja yg nyeleneh;negative
"Mahasiswa wajib atribusi jika pakai AI
📚 Dosen bisa pakai AI untuk kurikulum
🛡️ ALII dibentuk untuk jaga etika dan literasi AI
🧭 Kampus Islam jadi pelopor digital berintegritas";positive
"Begini nih kalau pendidikan mau terlihat intelek kekinian IT+AI tapi miskin pedagogi.

Ya gimana nggak ironi? Negara2 backbone industri IT+AI justru balik ke edukasi tulis tangan kok. Jelas terbukti mendidik.";negative
;
"Thread menarik mengenai guru AI.

Kayaknya anaknya bisa lebih cepet gitu karena ga perlu ngikutin pace anak lain, hampir sama kayak homeschooling. Bisa lebih cepat karena disesuaikan dengan kemampuan anak.

Aku mungkin akan ngasih opsi ini ke anak-anak kalo mereka udah agak gedean dikit.

Kalo masih kecil-kecil kayak sekarang, kayaknya masih perlu bimbingan one-on-one.";positive
@reformasiindo @tanyarlfes lu baca pertanyaan dan pernyataan menfessnya ga sih? ai menggantikan pekerjaan dan relevansi sekolah. asumsi dasarnya, lu punya ai lu ga perlu sekolah lagi krn lu bisa belajar otodidak pake ai. lu mau jadi pengacara lulusan otodidak ai? lu mau jadi dokter lulusan otodidak ai?;negative
banyangin sebuah mimpi buruk, dimana 02 terpilih, dimana nantinya AI-generated images yang mereka bilang “art” juga ini ada di mana2 di Indonesia. di transportasi umum, baliho, buku pelajaran sekolah, project pemerintahan, semuanya isinya AI yang jarinya ada 6. bayangin.;negative
"Kemarin2 ngebuka AI bareng sama mahasiswa skripsi yg indikasi pake AI.

Sama2 kita prompt buat tulis teori2 HI dan dlm bbrp langkah, kayanya udah selesai. Saya minta mahasiswa baca ulang. Hasilnya: AI ada kecenderungan syntesize sendiri, yg jauh bgt dr argumen papernya. 🙂‍↔️";negative
@tanyarlfes Kuliah sampe lulus tu gak sekedar di matkulnya doang kita dapet pelajaran, tapi dari pengalaman atau gimana kita ngeliat contoh di lapangan kerja itu, dan semua itu gak bisa didapet dari AI. Jadi minimal mikir lah masa sekolah mau diganti pake AI 😮‍💨;negative
Video itu kemungkinan besar asli, menampilkan siswa Indonesia dengan seragam sekolah, sesuai dengan pakaian SD yang umum (baju putih, topi merah). Tidak ada tanda jelas manipulasi AI seperti gerakan aneh atau distorsi. Namun, tanpa analisis langsung atau metadata, ada sedikit ketidakpastian. Konteks tentang operasi psikologis AI memang relevan, jadi verifikasi lebih lanjut dengan sekolah atau alat deteksi AI disarankan untuk memastikan.;negative
"Ekosistem AI yg berlandaskan nilai-nilai bangsa lahir dari kolaborasi lintas sektor dan semangat gotong royong.

Hal ini dibuktikan dengan peluncuran kecerdasan buatan (AI) lokal pertama dengan 70 miliar parameter, yg lahir dari kolaborasi GoTo &amp; Indosat Ooredoo Hutchison, Sob! https://t.co/zpFS6vf8G3";positive
Ga masuk akal... yg kuliah pasti ga relate karna ilmu yang di dapat di kuliah lebih worth it dibanding Ai. Kenapa? Ya karna Ai cuma ngambil data² org doang. Dan untuk pengetahuan terkini mrk ga ada data/ infonya karna mereka ga ngolah data secepet itu;negative
Mengapa koding dan AI dalam satu tarikan nafas? Sebenarnya ada Melek AI, atau AI Literacy yang bisa dikenalkan ke siswa, mengingat ini adalah sekolah tingkat dasar dan menengah. Kemampuan ini sudah cukup untuk membekali siswa agar tidak terjerumus dalam penyalahgunaan KA;positive
" Biasanya kalau sekolah internasional semua tendik nya dikasih pengawasan dan penyuluhan buat kasih batasan penggunaan AI sampai segimana
Tp kalau sekolah kurikulum negara kadang gurunya cm mikir cara lolos sertifikasi aja sih ya";neutral
"Disaat anak2 laen nyontek ke AI, anak gue pake AI untuk ngasih soal2 matematika ke dia

Secara soal2 dari sekolah ""kurang menantang""";positive
" Udah susah kalo mau diterapkan di Indonesia
1. Org pintar di SMA pasti akan ke Kedokteran, teknik, ataupun Sekolah Ikatan dinas, krn paling aman.
2. Kagak ada apresiasi yg tinggi untuk menjadikan Guru bener2 dihormati dan gaji tinggi";negative
"@mhdlma @livngn Bener bgt bang, ai yg punya background pendidikan Indo, pas ngajarin math anak ai yg pake metodologi SG, malah ai yg ajarin ama anak ai. 😅😅🫣🤭

(Keknya bbrp waktu yg lalu ai pernah ngespill contoh soal math Anak kelas 2 SD Singapore)";positive
"Lesson learnednya?

Bayangin kamu serahin penulisan, mau sebagian ato seluruhnya, ke AI.

Alamat sidangnya ga aman, malah harus revisi total dgn waktu sedikit, kemungkinan besar harus extend. Gajadi lulus dan wisuda, keluar duit lg. Hanya krn terlalu percaya sama AI.";negative
Terus saya tunjukin gimana baiknya pake AI buat kasus tadi. Dgn AI, fokusnya jd assisted learning, bukan ghost writer. Challenge AI terus2an lewat prompt, krn di ilmu sosial, nuance jauh lebih penting dalam ngebaca dan paham konsep2.;positive
@kompascom AI itu ibarat kalkulator. manusia tetap harus memiliki dasar ilmu pengetahuan yg kuat utk mendapatkan manfaat dr AI;neutral
@ElGemilang @kompascom Great question!  Prompt engineering is a faster route, while machine learning requires deeper skills.  The best path depends on their strengths – both are crucial for AI.;neutral
@kompascom Biar gak gagal paham AI macam mana sih yg dimaksud si mase ini ?? Analys/Programmer/disainer atau hanya pengguna yg hanya utk merekayasa/ manipulasi spt beliau ini ???;negative
"@kompascom Doi ini ahli pendidikan ya?
Jadi penasaran dengan riwayat pendidikan beliau dan IJAZAH aslinya";neutral
@kompascom Maksain banget ya. Lagian banyak kok yang belum paham tiap provinsi dgn nama ibukotanya kok. Yang dasr aja dlu, yang kerenan mah masuk kuliah aja deh.;negative
@kompascom AI mulu, yang dipelajari itu apanya? Cara menggunakan? Atau cara bikinnya? Mending perbaiki deh sistem pendidikannya dulu, jangan ai ai mulu;positive
@kompascom Cara membuat AI kan ? Bukan cara mudah menjawab PR menggunakan AI;neutral
@kompascom Jadi kurikulum AI ini ngapain? Diajarin cara ngetik prompt? Atau apa? Pliss pencerahannya;neutral
"@kompascom Ini anak anak mau diarahin ke bidang machine learning atau jadi prompt engineer pak?

""Ya yg penting bisa AI""";neutral
@kompascom Gausah sok mau langsung ke AI lah, descriptive writing aja susah.;negative
"@valfidz @kompascom orang2 kaga belajar dari carut marutnya transisi dari KTSP- kurtilas-kurikulum merdeka. efeknya gede banget bahkan jebloknya rerata nilai UN dipengaruhin pergantian kurikulum yg gue rasa gajelas &amp; belum siap diaplikasikan ke anak2";neutral
"@kompascom Kalo saya yg jd wapres..untuk masalah ini terlalu jauh aplg di pendidikan tingkat dasar..
Mending perbaiki kualitas pendidikan dasar se indonesia dulu..ciptakan sekolah negeri yg berkualitas
Kalau dr dasar sudah mumpuni baru menengah dijarkan pelan² soal teknologi";negative
"@kompascom Masalahnya guru yg buat ngajar AI udah kompeten blm mas wapres? Jangan asal bikin kebijakan yg gak jelas &amp; justru jdi kemunduran buat sistem pendidikan kita.";negative
@kompascom Kenapa yang dibahas pentingnya AI mulu, bukan pentingnya literasi membaca;positive
"@valfidz @kompascom Saya baru mau ngetik begini, ternyata ada yang pemikirannya sama.
Harusnya persiapkan cetak engineer /  matematik / science nya bukan malah jadi konsumen penggunaanya AI anjir.";negative
@kompascom Mimpi apa bangsa ini dapat wapres secerdas beliau ini? Tak akan ada lagi yang seperti dia dalam 100 tahun ke depan....;positive
entahlah, kedengarannya seperti rencana untuk membuat anak-anak lebih pintar atau semacamnya, tapi siapa peduli dengan itu kan? Biarkan saja mereka main game seharian, bukannya masa depan tergantung pada itu atau apa pun.;neutral
@kompascom Ai ai aiiii IPK lu ae 2,3 bjirrrr woi sadarrrr, tekenin tuh fundamental malah ngotot masukin AI, nohh kali kurang bagi tambah ae anak SMA masih gelagapan;negative
"@kompascom Taek banget, emang dia Menteri Pendidikan dan mengerti pendidikan, seenaknya memasukkan mata pelajaran yg ga jelas ke dalam kurikulum. Jangan cuma mau dibilang dan mau dianggap ""mempelopori"" terus bertindak seenak udel.";neutral
@kompascom Diantara banyaknya kengawuran anak MK ini, kalau AI masuk kurikulum bagus sih. Cuman pemerintah harus mempersiapkan lebih/ekstra buat menyusun Materi, Metode Pembelajaran, dan Kapasitas tenaga pendidik.;positive
@kompascom Ngerti AI ga sih...AI buat siswa makin bodoh dan malas;negative
